codec,qp,category,frame,num_points
avc,27,backpack,frame000001_AVCRA_27,36008
avc,27,backpack,frame000006_AVCRA_27,39766
avc,27,backpack,frame000011_AVCRA_27,31129
avc,27,backpack,frame000016_AVCRA_27,35933
avc,27,backpack,frame000021_AVCRA_27,38460
avc,27,backpack,frame000026_AVCRA_27,30467
avc,27,backpack,frame000031_AVCRA_27,35732
avc,27,backpack,frame000036_AVCRA_27,40265
avc,27,backpack,frame000041_AVCRA_27,23510
avc,27,backpack,frame000046_AVCRA_27,39820
avc,27,backpack,frame000051_AVCRA_27,50808
avc,27,backpack,frame000056_AVCRA_27,48764
avc,27,backpack,frame000061_AVCRA_27,57211
avc,27,backpack,frame000066_AVCRA_27,57473
avc,27,backpack,frame000071_AVCRA_27,47108
avc,27,backpack,frame000076_AVCRA_27,45731
avc,27,backpack,frame000081_AVCRA_27,50469
avc,27,backpack,frame000086_AVCRA_27,46511
avc,27,backpack,frame000091_AVCRA_27,47895
avc,27,backpack,frame000096_AVCRA_27,35084
avc,27,backpack,frame000101_AVCRA_27,40606
avc,27,backpack,frame000106_AVCRA_27,45827
avc,27,backpack,frame000111_AVCRA_27,34550
avc,27,backpack,frame000116_AVCRA_27,28302
avc,27,backpack,frame000121_AVCRA_27,9475
avc,27,backpack,frame000126_AVCRA_27,27976
avc,27,backpack,frame000131_AVCRA_27,23731
avc,27,backpack,frame000136_AVCRA_27,39141
avc,27,backpack,frame000141_AVCRA_27,44479
avc,27,backpack,frame000146_AVCRA_27,53967
avc,27,backpack,frame000151_AVCRA_27,31560
avc,27,backpack,frame000156_AVCRA_27,44819
avc,27,backpack,frame000161_AVCRA_27,16014
avc,27,backpack,frame000166_AVCRA_27,28927
avc,27,backpack,frame000171_AVCRA_27,46695
avc,27,backpack,frame000176_AVCRA_27,48864
avc,27,backpack,frame000181_AVCRA_27,46824
avc,27,backpack,frame000186_AVCRA_27,46819
avc,27,backpack,frame000191_AVCRA_27,33665
avc,27,backpack,frame000196_AVCRA_27,50211
avc,27,backpack,frame000201_AVCRA_27,53894
avc,27,ball,frame000001_AVCRA_27,50080
avc,27,ball,frame000006_AVCRA_27,51340
avc,27,ball,frame000011_AVCRA_27,51041
avc,27,ball,frame000016_AVCRA_27,43510
avc,27,ball,frame000021_AVCRA_27,44608
avc,27,ball,frame000026_AVCRA_27,41972
avc,27,ball,frame000031_AVCRA_27,50487
avc,27,ball,frame000036_AVCRA_27,46856
avc,27,ball,frame000041_AVCRA_27,36103
avc,27,ball,frame000046_AVCRA_27,43722
avc,27,ball,frame000051_AVCRA_27,39315
avc,27,ball,frame000056_AVCRA_27,36028
avc,27,ball,frame000061_AVCRA_27,35053
avc,27,ball,frame000066_AVCRA_27,20687
avc,27,ball,frame000071_AVCRA_27,38775
avc,27,ball,frame000076_AVCRA_27,39239
avc,27,ball,frame000081_AVCRA_27,36794
avc,27,ball,frame000086_AVCRA_27,40774
avc,27,ball,frame000091_AVCRA_27,28973
avc,27,ball,frame000096_AVCRA_27,42985
avc,27,ball,frame000101_AVCRA_27,35287
avc,27,ball,frame000106_AVCRA_27,17961
avc,27,ball,frame000111_AVCRA_27,29912
avc,27,ball,frame000116_AVCRA_27,37434
avc,27,ball,frame000121_AVCRA_27,38665
avc,27,ball,frame000126_AVCRA_27,33146
avc,27,ball,frame000131_AVCRA_27,39186
avc,27,ball,frame000136_AVCRA_27,43596
avc,27,ball,frame000141_AVCRA_27,41284
avc,27,ball,frame000146_AVCRA_27,43073
avc,27,ball,frame000151_AVCRA_27,33889
avc,27,ball,frame000156_AVCRA_27,38818
avc,27,ball,frame000161_AVCRA_27,44296
avc,27,ball,frame000166_AVCRA_27,35131
avc,27,ball,frame000171_AVCRA_27,35229
avc,27,ball,frame000176_AVCRA_27,39400
avc,27,ball,frame000181_AVCRA_27,27960
avc,27,ball,frame000186_AVCRA_27,34215
avc,27,ball,frame000191_AVCRA_27,32102
avc,27,ball,frame000196_AVCRA_27,36303
avc,27,ball,frame000201_AVCRA_27,37440
avc,27,book,frame000001_AVCRA_27,43006
avc,27,book,frame000006_AVCRA_27,47690
avc,27,book,frame000011_AVCRA_27,49093
avc,27,book,frame000016_AVCRA_27,45637
avc,27,book,frame000021_AVCRA_27,34947
avc,27,book,frame000026_AVCRA_27,42838
avc,27,book,frame000031_AVCRA_27,46782
avc,27,book,frame000036_AVCRA_27,42976
avc,27,book,frame000041_AVCRA_27,38376
avc,27,book,frame000046_AVCRA_27,39156
avc,27,book,frame000051_AVCRA_27,32438
avc,27,book,frame000056_AVCRA_27,30301
avc,27,book,frame000061_AVCRA_27,24928
avc,27,book,frame000066_AVCRA_27,28262
avc,27,book,frame000071_AVCRA_27,31871
avc,27,book,frame000076_AVCRA_27,36245
avc,27,book,frame000081_AVCRA_27,38063
avc,27,book,frame000086_AVCRA_27,37144
avc,27,book,frame000091_AVCRA_27,43071
avc,27,book,frame000096_AVCRA_27,42277
avc,27,book,frame000101_AVCRA_27,41938
avc,27,book,frame000106_AVCRA_27,36072
avc,27,book,frame000111_AVCRA_27,33412
avc,27,book,frame000116_AVCRA_27,38798
avc,27,book,frame000121_AVCRA_27,39636
avc,27,book,frame000126_AVCRA_27,34407
avc,27,book,frame000131_AVCRA_27,30076
avc,27,book,frame000136_AVCRA_27,30194
avc,27,book,frame000141_AVCRA_27,27683
avc,27,book,frame000146_AVCRA_27,27454
avc,27,book,frame000151_AVCRA_27,20374
avc,27,book,frame000156_AVCRA_27,26676
avc,27,book,frame000161_AVCRA_27,35994
avc,27,book,frame000166_AVCRA_27,35139
avc,27,book,frame000171_AVCRA_27,38170
avc,27,book,frame000176_AVCRA_27,43304
avc,27,book,frame000181_AVCRA_27,43831
avc,27,book,frame000186_AVCRA_27,43527
avc,27,book,frame000191_AVCRA_27,38340
avc,27,book,frame000196_AVCRA_27,32745
avc,27,book,frame000201_AVCRA_27,36799
avc,27,chair,frame000001_AVCRA_27,3948
avc,27,chair,frame000006_AVCRA_27,6879
avc,27,chair,frame000011_AVCRA_27,16749
avc,27,chair,frame000016_AVCRA_27,22913
avc,27,chair,frame000021_AVCRA_27,41669
avc,27,chair,frame000026_AVCRA_27,35135
avc,27,chair,frame000031_AVCRA_27,37975
avc,27,chair,frame000036_AVCRA_27,9849
avc,27,chair,frame000041_AVCRA_27,16294
avc,27,chair,frame000046_AVCRA_27,14501
avc,27,chair,frame000051_AVCRA_27,17905
avc,27,chair,frame000056_AVCRA_27,18229
avc,27,chair,frame000061_AVCRA_27,9739
avc,27,chair,frame000066_AVCRA_27,7015
avc,27,chair,frame000071_AVCRA_27,9384
avc,27,chair,frame000076_AVCRA_27,5610
avc,27,chair,frame000081_AVCRA_27,1531
avc,27,chair,frame000086_AVCRA_27,3529
avc,27,chair,frame000091_AVCRA_27,2196
avc,27,chair,frame000096_AVCRA_27,6756
avc,27,chair,frame000101_AVCRA_27,2430
avc,27,chair,frame000106_AVCRA_27,1371
avc,27,chair,frame000111_AVCRA_27,3790
avc,27,chair,frame000116_AVCRA_27,2932
avc,27,chair,frame000121_AVCRA_27,7331
avc,27,chair,frame000126_AVCRA_27,10476
avc,27,chair,frame000131_AVCRA_27,12861
avc,27,chair,frame000136_AVCRA_27,4685
avc,27,chair,frame000141_AVCRA_27,8834
avc,27,chair,frame000146_AVCRA_27,10986
avc,27,chair,frame000151_AVCRA_27,8141
avc,27,chair,frame000156_AVCRA_27,7332
avc,27,chair,frame000161_AVCRA_27,11894
avc,27,chair,frame000166_AVCRA_27,8016
avc,27,chair,frame000171_AVCRA_27,6527
avc,27,chair,frame000176_AVCRA_27,8394
avc,27,chair,frame000181_AVCRA_27,6290
avc,27,chair,frame000186_AVCRA_27,5774
avc,27,chair,frame000191_AVCRA_27,3783
avc,27,chair,frame000196_AVCRA_27,5735
avc,27,chair,frame000201_AVCRA_27,11436
avc,27,handbag,frame000001_AVCRA_27,14408
avc,27,handbag,frame000006_AVCRA_27,14709
avc,27,handbag,frame000011_AVCRA_27,14547
avc,27,handbag,frame000016_AVCRA_27,13655
avc,27,handbag,frame000021_AVCRA_27,15484
avc,27,handbag,frame000026_AVCRA_27,12240
avc,27,handbag,frame000031_AVCRA_27,8571
avc,27,handbag,frame000036_AVCRA_27,16609
avc,27,handbag,frame000041_AVCRA_27,20658
avc,27,handbag,frame000046_AVCRA_27,29140
avc,27,handbag,frame000051_AVCRA_27,34362
avc,27,handbag,frame000056_AVCRA_27,27178
avc,27,handbag,frame000061_AVCRA_27,27334
avc,27,handbag,frame000066_AVCRA_27,15201
avc,27,handbag,frame000071_AVCRA_27,20465
avc,27,handbag,frame000076_AVCRA_27,18621
avc,27,handbag,frame000081_AVCRA_27,15726
avc,27,handbag,frame000086_AVCRA_27,11039
avc,27,handbag,frame000091_AVCRA_27,12700
avc,27,handbag,frame000096_AVCRA_27,15029
avc,27,handbag,frame000101_AVCRA_27,18135
avc,27,handbag,frame000106_AVCRA_27,29558
avc,27,handbag,frame000111_AVCRA_27,32275
avc,27,handbag,frame000116_AVCRA_27,40339
avc,27,handbag,frame000121_AVCRA_27,42030
avc,27,handbag,frame000126_AVCRA_27,37817
avc,27,handbag,frame000131_AVCRA_27,35192
avc,27,handbag,frame000136_AVCRA_27,33489
avc,27,handbag,frame000141_AVCRA_27,17664
avc,27,handbag,frame000146_AVCRA_27,15213
avc,27,handbag,frame000151_AVCRA_27,18224
avc,27,handbag,frame000156_AVCRA_27,17732
avc,27,handbag,frame000161_AVCRA_27,16691
avc,27,handbag,frame000166_AVCRA_27,18762
avc,27,handbag,frame000171_AVCRA_27,16334
avc,27,handbag,frame000176_AVCRA_27,19253
avc,27,handbag,frame000181_AVCRA_27,21073
