codec,category,qp,average_chamfer_distance
AVC,backpack,42,3.0051315183992737
AVC,backpack,47,3.1913100481033325
AVC,ball,42,3.8748844600305326
AVC,ball,47,3.9722443848121456
AVC,book,42,4.818056571774367
AVC,book,47,4.807490127842601
AVC,chair,42,3.1285906904622127
AVC,chair,47,3.218213991685347
AVC,handbag,42,3.819267121756949
AVC,handbag,47,3.961734623522372
AVC,laptop,42,3.4066979799951826
AVC,laptop,47,3.326683691569737
AVC,plant,42,3.449530283610026
AVC,plant,47,3.3098317261399894
AVC,teddybear,42,3.1484886010487876
AVC,teddybear,47,3.1315049727757773
AVC,vase,42,3.403084417184194
AVC,vase,47,3.3768719159639797
