codec,category,qp,average_chamfer_distance
JPEG,backpack,20,2.682800886107654
JPEG,backpack,10,2.8313865159687244
JPEG,ball,20,3.8515264348285956
JPEG,ball,10,3.854575343248321
JPEG,book,20,4.846520737903874
JPEG,book,10,4.84521400637743
JPEG,chair,20,3.069195601998306
JPEG,chair,10,3.0936939192981256
JPEG,handbag,20,3.745922716652475
JPEG,handbag,10,3.8333969697719668
JPEG,laptop,20,3.4528739026614597
JPEG,laptop,10,3.409517628805978
JPEG,plant,20,3.466155692150718
JPEG,plant,10,3.4528436049436912
JPEG,teddybear,20,3.200639186366912
JPEG,teddybear,10,3.2137320248976997
JPEG,vase,20,3.387498140335083
JPEG,vase,10,3.325832913561565
