codec,category,qp,frame,chamfer_distance
JPEG,backpack,20,frame000001_JPEG_Q20,2.632097005844116
JPEG,backpack,20,frame000006_JPEG_Q20,2.569751501083374
JPEG,backpack,20,frame000011_JPEG_Q20,2.6859915256500244
JPEG,backpack,20,frame000016_JPEG_Q20,2.526700019836426
JPEG,backpack,20,frame000021_JPEG_Q20,2.5542235374450684
JPEG,backpack,20,frame000026_JPEG_Q20,2.5603713989257812
JPEG,backpack,20,frame000031_JPEG_Q20,2.6295859813690186
JPEG,backpack,20,frame000036_JPEG_Q20,2.4256796836853027
JPEG,backpack,20,frame000041_JPEG_Q20,2.491673469543457
JPEG,backpack,20,frame000046_JPEG_Q20,2.55830454826355
JPEG,backpack,20,frame000051_JPEG_Q20,2.4781060218811035
JPEG,backpack,20,frame000056_JPEG_Q20,2.392862558364868
JPEG,backpack,20,frame000061_JPEG_Q20,2.3910062313079834
JPEG,backpack,20,frame000066_JPEG_Q20,2.34786057472229
JPEG,backpack,20,frame000071_JPEG_Q20,2.5372025966644287
JPEG,backpack,20,frame000076_JPEG_Q20,2.552312135696411
JPEG,backpack,20,frame000081_JPEG_Q20,2.593261480331421
JPEG,backpack,20,frame000086_JPEG_Q20,2.6108105182647705
JPEG,backpack,20,frame000091_JPEG_Q20,2.5708720684051514
JPEG,backpack,20,frame000096_JPEG_Q20,2.9938576221466064
JPEG,backpack,20,frame000101_JPEG_Q20,2.6446831226348877
JPEG,backpack,20,frame000106_JPEG_Q20,2.521895408630371
JPEG,backpack,20,frame000111_JPEG_Q20,3.014299154281616
JPEG,backpack,20,frame000116_JPEG_Q20,2.9918572902679443
JPEG,backpack,20,frame000121_JPEG_Q20,3.2112960815429688
JPEG,backpack,20,frame000126_JPEG_Q20,2.9277806282043457
JPEG,backpack,20,frame000131_JPEG_Q20,2.899611473083496
JPEG,backpack,20,frame000136_JPEG_Q20,2.6936323642730713
JPEG,backpack,20,frame000141_JPEG_Q20,2.632246494293213
JPEG,backpack,20,frame000146_JPEG_Q20,2.914287567138672
JPEG,backpack,20,frame000151_JPEG_Q20,3.0032548904418945
JPEG,backpack,20,frame000156_JPEG_Q20,2.888524055480957
JPEG,backpack,20,frame000161_JPEG_Q20,3.016620397567749
JPEG,backpack,20,frame000166_JPEG_Q20,2.890840768814087
JPEG,backpack,20,frame000171_JPEG_Q20,2.6786646842956543
JPEG,backpack,20,frame000176_JPEG_Q20,2.5406105518341064
JPEG,backpack,20,frame000181_JPEG_Q20,2.917407989501953
JPEG,backpack,20,frame000186_JPEG_Q20,2.528825521469116
JPEG,backpack,20,frame000191_JPEG_Q20,2.998746871948242
JPEG,backpack,20,frame000196_JPEG_Q20,2.5504584312438965
JPEG,backpack,20,frame000201_JPEG_Q20,2.426762104034424
JPEG,backpack,10,frame000001_JPEG_Q10,2.7878546714782715
JPEG,backpack,10,frame000006_JPEG_Q10,2.663271427154541
JPEG,backpack,10,frame000011_JPEG_Q10,2.7283411026000977
JPEG,backpack,10,frame000016_JPEG_Q10,2.608711004257202
JPEG,backpack,10,frame000021_JPEG_Q10,2.6346077919006348
JPEG,backpack,10,frame000026_JPEG_Q10,3.035447597503662
JPEG,backpack,10,frame000031_JPEG_Q10,2.7293217182159424
JPEG,backpack,10,frame000036_JPEG_Q10,2.7272255420684814
JPEG,backpack,10,frame000041_JPEG_Q10,2.6151137351989746
JPEG,backpack,10,frame000046_JPEG_Q10,2.5901620388031006
JPEG,backpack,10,frame000051_JPEG_Q10,2.4884696006774902
JPEG,backpack,10,frame000056_JPEG_Q10,2.633007049560547
JPEG,backpack,10,frame000061_JPEG_Q10,2.4016287326812744
JPEG,backpack,10,frame000066_JPEG_Q10,2.418788433074951
JPEG,backpack,10,frame000071_JPEG_Q10,2.6638622283935547
JPEG,backpack,10,frame000076_JPEG_Q10,2.8892199993133545
JPEG,backpack,10,frame000081_JPEG_Q10,2.6356022357940674
JPEG,backpack,10,frame000086_JPEG_Q10,2.861900568008423
JPEG,backpack,10,frame000091_JPEG_Q10,2.681772470474243
JPEG,backpack,10,frame000096_JPEG_Q10,3.114044189453125
JPEG,backpack,10,frame000101_JPEG_Q10,2.8751747608184814
JPEG,backpack,10,frame000106_JPEG_Q10,2.7862749099731445
JPEG,backpack,10,frame000111_JPEG_Q10,3.0457472801208496
JPEG,backpack,10,frame000116_JPEG_Q10,3.1025888919830322
JPEG,backpack,10,frame000121_JPEG_Q10,3.3528831005096436
JPEG,backpack,10,frame000131_JPEG_Q10,3.2981374263763428
JPEG,backpack,10,frame000136_JPEG_Q10,2.9859111309051514
JPEG,backpack,10,frame000141_JPEG_Q10,2.688270330429077
JPEG,backpack,10,frame000146_JPEG_Q10,2.9784891605377197
JPEG,backpack,10,frame000151_JPEG_Q10,3.3691797256469727
JPEG,backpack,10,frame000156_JPEG_Q10,3.4414918422698975
JPEG,backpack,10,frame000171_JPEG_Q10,2.9317307472229004
JPEG,backpack,10,frame000176_JPEG_Q10,2.5891926288604736
JPEG,backpack,10,frame000181_JPEG_Q10,2.97955322265625
JPEG,backpack,10,frame000186_JPEG_Q10,2.9655580520629883
